titulo,subtitulo,fecha_extraccion
Maduro utiliza el regreso de los migrantes venezolanos como propaganda propia: anunció la inminente llegada de otro avión,,2025-04-02 16:14:33
María Corina Machado y Edmundo González Urrutia dijeron estar listos para defender los derechos sobre el Esequibo,,2025-04-02 16:14:33
El canciller chileno rechazó las acusaciones del régimen de Maduro sobre el caso Ronald Ojeda,,2025-04-02 16:14:33
"Ex presidente de Bolivia criticó a Evo Morales: “Cuando uno hace partidos con su nombre, ya le patinó la cabeza”",,2025-04-02 16:14:33
El Estado ficticio de Kailasa intimidó a periodistas y amenazó con procesos judiciales a medios bolivianos,,2025-04-02 16:14:33
El opositor Luis Fernando Camacho demandará al Gobierno de Bolivia ante organismos internacionales por “su secuestro”,,2025-04-02 16:14:33
Una tenista colapsó en pleno partido y salió de la cancha en silla de ruedas: el noble gesto de la argentina Riera,,2025-04-02 16:14:33
Real Madrid ganó 5-4 y es finalista de la Copa del Rey,,2025-04-02 16:14:33
Messi vuelve a enfrentar a Hugo Lloris tras la final del Mundial: la llamativa reflexión del ex arquero de Francia,,2025-04-02 16:14:33
Batacazo en la Copa de Alemania: un equipo de tercera división eliminó al campeón Bayer Leverkusen y jugará la final,,2025-04-02 16:14:33
"Owen Cooper, el actor de Adolescencia, reveló que actuará junto a Margot Robbie en una nueva película",,2025-04-02 16:14:33
Oliver Stone pide una nueva investigación sobre el asesinato de Kennedy,,2025-04-02 16:14:33
Sebastián Yatra habló del éxito en Broadway y Viña del Mar: “Es el principio de una nueva etapa en mi carrera”,,2025-04-02 16:14:33
Steve Carell y el papel que casi no fue: los secretos detrás del casting de Michael Scott en “The Office”,,2025-04-02 16:14:33
"El cáncer de mama en etapa inicial podría tratarse sin cirugía, según un estudio",,2025-04-02 16:14:33
¿La ivermectina sirve para el cáncer y la covid?,,2025-04-02 16:14:33
Por qué saltar es un excelente ejercicio físico que suele desestimarse,,2025-04-02 16:14:33
Una nueva tecnología permite estudiar decenas de proteínas a la vez y permitirá diagnósticos más rápidos y precisos,,2025-04-02 16:14:33
Cómo elegir la contraseña más segura para evitar cualquier fraude o robo de una cuenta de Gmail,,2025-04-02 16:14:33
"Meta trabaja en unas nuevas gafas inteligentes inspiradas en Google Glass: posible precio, lanzamiento y más tecnología",,2025-04-02 16:14:33
